 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
1,68,48.85294,38,62,177,57.214691,39,95,616,62.376625,37,115,349,71.968483,38,192
2,68,49.85294,39,64,177,57.949154,36,91,616,62.777596,35,111,349,72.62751,36,211
3,68,48.367645,36,64,177,57.694916,37,94,616,62.944805,39,110,349,73.27507,37,225
4,68,49.058823,36,63,177,57.169491,38,93,616,63.011364,39,109,349,72.81089,39,216
5,68,50.35294,37,63,177,58.237289,41,101,616,62.725651,39,107,349,73.521492,39,220
6,68,50.455883,37,65,177,57.548023,38,99,616,63.08279,37,101,349,73.203438,37,205
7,68,49.205883,38,64,177,57.858757,38,95,616,63.112015,39,110,349,72.670486,36,203
8,68,49.764706,38,65,177,58.327682,40,95,616,62.672077,37,113,349,72.610313,36,214
9,68,49.235294,36,65,177,57.610168,38,98,616,62.370129,37,110,349,72.025787,39,236
10,68,49.470589,36,62,177,57.564972,37,90,616,63.08279,37,102,349,71.979942,37,201
11,68,49.617645,38,67,177,57.779659,39,97,616,62.769482,35,113,349,72.312325,36,218
12,68,49.132355,39,64,177,58.090397,40,91,616,63.20779,38,106,349,72.799423,38,221
13,68,49.235294,38,63,177,58.401131,39,93,616,62.900974,37,106,349,73.123207,36,237
14,68,48.323528,37,73,177,57.81921,37,91,616,63.470779,38,105,349,72.753578,37,222
15,68,49,40,62,177,58.197739,36,99,616,62.295456,38,105,349,72.045845,37,198
16,68,50.058823,40,65,177,56.909603,41,92,616,62.92857,38,104,349,72.865326,37,224
17,68,49.205883,37,64,177,57.480225,38,96,616,62.862015,36,108,349,73.27507,37,207
18,68,49.205883,38,65,177,58.045197,40,95,616,62.112015,37,105,349,72.836678,38,218
19,68,49.720589,40,65,177,57.802261,36,93,616,62.670456,38,115,349,72.383957,37,219
20,68,48.89706,38,63,177,58.418079,38,93,616,62.462662,38,110,349,72.607452,36,207
21,68,49.544117,40,70,177,58.59322,39,95,616,62.990261,36,106,349,72.27507,37,203
22,68,49.558823,37,66,177,58.35593,40,91,616,62.863636,36,111,349,72.72493,36,226
23,68,49.485294,36,71,177,58.17514,39,88,616,62.887985,35,105,349,72.799423,37,234
24,68,49.617645,38,70,177,57.288136,39,98,616,63.008118,37,114,349,72.879654,36,223
25,68,49.5,39,64,177,57.926552,41,94,616,63.102272,38,104,349,72.326645,36,208
26,68,49.441177,40,67,177,58.079098,37,100,616,62.636364,38,108,349,72.808022,37,232
27,68,48.808823,37,67,177,58.107346,40,101,616,63.047077,36,106,349,72.472778,36,208
28,68,49.926472,37,67,177,58.259888,39,99,616,62.862015,39,107,349,73.214897,36,205
29,68,48.867645,38,62,177,57.960453,41,88,616,63.055195,38,109,349,73.415474,38,195
30,68,49.323528,37,66,177,57.022598,40,92,616,62.527596,38,103,349,72.36676,37,218
31,68,49.529411,37,67,177,58.41243,38,88,616,62.699677,39,114,349,73.143265,39,213
32,68,49.661766,37,69,177,57.209038,42,94,616,62.959415,37,105,349,72.879654,37,218
33,68,49.720589,38,71,177,57.740112,41,101,616,63.099026,37,107,349,72.664757,38,228
34,68,48.926472,38,63,177,57.971752,38,93,616,62.714287,38,113,349,73.507164,37,196
35,68,48.941177,37,64,177,57.576271,38,97,616,62.972404,36,111,349,73.031517,40,225
36,68,48.808823,38,66,177,58.491524,42,91,616,62.439934,36,113,349,72.226364,36,195
37,68,48.044117,38,61,177,57.983051,39,97,616,62.589287,38,110,349,72.446991,34,227
38,68,48.5,37,63,177,56.847458,38,92,616,62.612015,38,104,349,72.234955,37,214
39,68,47.985294,36,63,177,57.23164,39,89,616,62.745129,37,105,349,73.518623,38,213
40,68,49.308823,34,65,177,58.011299,40,97,616,63.220779,38,107,349,73.260742,37,236
41,68,48.205883,35,64,177,57.610168,37,88,616,62.855518,37,103,349,71.977074,36,198
42,68,48.985294,38,61,177,58.525425,39,101,616,62.548702,38,109,349,72,38,216
43,68,49.661766,38,64,177,56.875706,39,92,616,63.090908,38,114,349,73.37249,36,209
44,68,49.720589,40,63,177,57.836159,36,91,616,63.019482,38,106,349,71.699142,36,214
45,68,49.485294,36,62,177,57.909603,39,88,616,62.923702,37,103,349,72.667625,38,227
