 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5
17066,33152,17.152509689,12,29,5056,21.848100662,14,38,9856,22.506492615,12,86,16384,24.574218750,14,74,41664,27.067588806,14,56
17067,33152,17.083011627,11,28,5056,22.303796768,14,32,9856,22.824674606,14,87,16384,24.695312500,14,75,41664,27.253456116,14,69
17068,33152,17.158300400,11,28,5056,22.329113007,14,35,9856,22.792207718,13,83,16384,24.679687500,12,75,41664,27.247312546,14,58
17069,33152,17.059844971,12,26,5056,22.341772079,14,36,9856,22.532466888,13,80,16384,24.910156250,13,75,41664,27.185867310,12,64
17070,33152,17.028957367,12,27,5056,22.430379868,14,38,9856,22.616882324,14,83,16384,24.972656250,13,72,41664,26.980030060,12,58
17071,33152,17.254825592,12,28,5056,22.341772079,13,37,9856,22.435064316,13,78,16384,24.992187500,14,66,41664,27.281105042,14,62
17072,33152,17.038610458,12,29,5056,22.392404556,14,37,9856,22.922077179,13,90,16384,24.914062500,13,72,41664,27.110599518,14,57
17073,33152,17.113899231,12,29,5056,22.481012344,15,35,9856,22.948051453,13,88,16384,25.171875000,14,69,41664,27.241167068,13,61
17074,33152,17.181467056,12,29,5056,22.430379868,13,36,9856,22.974025726,14,88,16384,25.097656250,14,78,41664,27.179723740,12,63
17075,33152,17.216217041,12,30,5056,22.253164291,15,32,9856,22.435064316,13,81,16384,25.113281250,14,71,41664,27.078340530,14,60
17076,33152,17.177606583,12,31,5056,22.050632477,15,33,9856,22.850648880,14,82,16384,24.929687500,13,72,41664,27.276496887,13,54
17077,33152,17.027027130,12,30,5056,22.139240265,15,33,9856,22.480520248,14,86,16384,24.769531250,14,70,41664,27.019969940,14,59
17078,33152,17.046331406,12,29,5056,22.253164291,14,32,9856,22.714284897,15,86,16384,25.222656250,13,73,41664,26.996927261,14,59
17079,33152,16.972972870,12,29,5056,22.582279205,13,36,9856,22.584415436,13,83,16384,24.792968750,13,71,41664,27.156682968,13,61
17080,33152,16.947875977,11,28,5056,21.658227921,14,37,9856,22.707792282,14,90,16384,24.781250000,13,72,41664,26.910905838,15,60
17081,33152,17.140926361,12,28,5056,22.607595444,14,33,9856,23.240259171,12,82,16384,24.960937500,12,76,41664,27.050691605,14,59
17082,33152,17.167953491,12,34,5056,22.544303894,13,38,9856,23.344156265,14,81,16384,24.835937500,13,69,41664,27.185867310,14,52
17083,33152,17.001930237,12,26,5056,22.164556503,14,36,9856,23.253246307,13,80,16384,24.941406250,15,65,41664,27.069124222,14,59
17084,33152,17.077220917,12,29,5056,21.860759735,14,33,9856,23.597402573,13,82,16384,24.574218750,14,71,41664,27.167434692,13,62
17085,33152,16.961389542,12,33,5056,22.240507126,15,36,9856,23.149351120,14,84,16384,24.605468750,14,73,41664,27.238094330,13,61
17086,33152,17.073358536,12,26,5056,22.493671417,14,37,9856,23.370130539,14,83,16384,24.898437500,14,77,41664,26.967741013,14,61
17087,33152,17.038610458,12,27,5056,22.164556503,15,34,9856,23.012987137,13,92,16384,24.734375000,14,65,41664,27.093702316,13,58
17088,33152,17.081081390,12,30,5056,22.455696106,13,37,9856,23.233766556,14,85,16384,24.570312500,14,74,41664,27.043010712,16,53
17089,33152,17.073358536,12,30,5056,22.341772079,13,32,9856,23.227272034,14,84,16384,24.421875000,14,68,41664,27.059907913,15,55
17090,33152,17.077220917,12,29,5056,21.835443497,14,35,9856,22.915584564,13,82,16384,24.519531250,14,71,41664,27.198156357,13,56
17091,33152,17.104248047,12,29,5056,22.405063629,15,35,9856,22.922077179,13,84,16384,24.625000000,14,67,41664,27.075269699,14,61
17092,33152,16.938224792,12,31,5056,22.063291550,16,32,9856,23.279220581,13,84,16384,24.652343750,13,76,41664,27.109062195,14,61
17093,33152,16.913127899,12,31,5056,22.113924026,14,33,9856,22.818181992,14,80,16384,24.574218750,12,74,41664,27.092164993,14,67
17094,33152,17.158300400,12,32,5056,22.582279205,13,36,9856,23.071428299,13,79,16384,24.839843750,13,74,41664,27.067588806,15,65
17095,33152,17.140926361,12,28,5056,22.430379868,14,36,9856,23.201297760,14,90,16384,24.707031250,14,70,41664,27.039937973,13,53
17096,33152,17.113899231,12,30,5056,22.329113007,13,39,9856,23.000000000,15,81,16384,24.601562500,14,68,41664,27.187404633,14,61
17097,33152,17.260618210,12,32,5056,22.481012344,15,35,9856,23.045454025,14,83,16384,24.558593750,14,77,41664,27.055299759,13,59
17098,33152,17.065637589,12,30,5056,22.531644821,15,39,9856,23.324674606,14,80,16384,24.738281250,14,74,41664,27.129032135,13,59
17099,33152,17.179536819,12,28,5056,22.075948715,14,41,9856,22.642856598,13,83,16384,24.550781250,13,66,41664,27.173578262,14,64
17100,33152,17.081081390,12,26,5056,22.455696106,14,39,9856,22.824674606,14,86,16384,24.707031250,14,71,41664,27.101383209,14,59
17101,33152,17.160232544,12,25,5056,22.215188980,13,35,9856,22.766233444,12,88,16384,24.554687500,14,73,41664,27.044546127,14,60
17102,33152,17.171813965,12,28,5056,22.810127258,15,37,9856,23.136363983,13,85,16384,24.664062500,13,67,41664,27.069124222,15,55
17103,33152,17.137065887,12,27,5056,22.227848053,14,32,9856,22.935064316,12,85,16384,24.722656250,13,69,41664,27.112134933,13,52
17104,33152,17.067567825,12,32,5056,21.746835709,13,32,9856,22.772727966,14,87,16384,24.480468750,13,71,41664,27.310291290,14,54
17105,33152,17.027027130,12,31,5056,22.189872742,15,35,9856,22.746753693,13,85,16384,24.730468750,13,67,41664,26.961597443,14,60
17106,33152,17.092664719,12,29,5056,22.126583099,14,33,9856,23.038961411,13,87,16384,24.453125000,13,71,41664,27.018432617,14,60
17107,33152,17.125482559,12,31,5056,22.012659073,14,35,9856,22.461038589,14,86,16384,24.625000000,12,74,41664,27.208909988,14,64
17108,33152,17.088802338,12,28,5056,22.113924026,15,31,9856,22.642856598,14,78,16384,24.632812500,14,70,41664,27.178188324,14,56
17109,33152,17.160232544,12,30,5056,22.392404556,15,39,9856,22.538961411,13,84,16384,24.394531250,14,71,41664,27.262672424,13,61
17110,33152,16.972972870,12,27,5056,22.544303894,15,34,9856,22.512987137,13,93,16384,24.628906250,13,75,41664,27.253456116,14,57
17111,33152,16.936292648,11,33,5056,22.468355179,14,37,9856,22.863636017,14,84,16384,24.835937500,13,70,41664,26.980030060,14,65
17112,33152,17.050193787,12,32,5056,21.987340927,14,31,9856,22.818181992,13,89,16384,24.511718750,12,72,41664,27.102918625,15,57
17113,33152,17.001930237,11,27,5056,22.253164291,14,36,9856,22.370130539,14,79,16384,24.535156250,14,70,41664,27.168970108,13,62
17114,33152,17.007722855,12,32,5056,22.227848053,16,33,9856,22.642856598,13,80,16384,24.640625000,13,67,41664,27.082948685,12,67
17115,33152,17.127412796,12,28,5056,22.329113007,13,35,9856,22.318181992,14,87,16384,24.816406250,14,66,41664,26.983102798,14,56
17116,33152,17.129343033,12,28,5056,21.835443497,15,32,9856,22.850648880,13,86,16384,24.578125000,13,72,41664,27.368663788,12,58
17117,33152,17.023166656,12,30,5056,22.582279205,15,36,9856,22.610389709,13,89,16384,24.605468750,14,76,41664,27.313364029,14,56
17118,33152,16.901544571,12,25,5056,22.139240265,13,35,9856,22.831169128,14,88,16384,24.613281250,12,76,41664,26.907835007,14,60
17119,33152,17.073358536,13,31,5056,22.443037033,15,33,9856,22.616882324,14,81,16384,24.539062500,14,67,41664,27.150537491,14,59
17120,33152,16.930501938,12,27,5056,22.278480530,13,35,9856,22.701297760,13,81,16384,24.464843750,13,69,41664,27.238094330,13,60
17121,33152,17.046331406,12,28,5056,22.379747391,16,34,9856,22.993507385,12,88,16384,24.632812500,13,66,41664,27.084486008,15,55
17122,33152,17.169883728,12,29,5056,21.658227921,13,32,9856,22.792207718,13,85,16384,24.656250000,14,73,41664,27.190475464,14,64
17123,33152,17.100385666,12,30,5056,22.468355179,14,35,9856,22.850648880,13,87,16384,24.683593750,14,74,41664,27.313364029,13,62
17124,33152,16.984556198,12,28,5056,22.569620132,14,39,9856,22.714284897,14,86,16384,24.582031250,13,77,41664,26.961597443,14,59
17125,33152,17.084941864,11,31,5056,22.354431152,14,31,9856,22.837661743,15,98,16384,24.730468750,13,70,41664,27.112134933,14,63
17126,33152,17.115829468,12,29,5056,22.063291550,14,34,9856,22.733766556,14,85,16384,24.453125000,14,75,41664,27.227342606,15,63
17127,33152,17.183397293,11,33,5056,22.316455841,14,30,9856,22.967533112,13,90,16384,24.890625000,13,74,41664,27.304147720,14,59
17128,33152,17.098455429,12,29,5056,22.354431152,15,36,9856,22.532466888,14,83,16384,24.675781250,15,71,41664,27.124423981,13,59
17129,33152,17.027027130,12,30,5056,22.227848053,14,33,9856,22.935064316,13,90,16384,24.636718750,13,72,41664,27.245775223,14,62
