 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
99,32,110.656,72,154,225,141.044,66,334,208,119.365,56,212
100,32,113.906,78,150,225,141.058,55,339,208,118.510,62,223
101,32,114.031,83,165,225,139.747,53,350,208,119.346,63,233
102,32,115.406,72,155,225,139.667,58,328,208,118.938,59,222
103,32,115.719,73,159,225,141.640,57,344,208,119.904,63,226
104,32,114.250,86,162,225,141.196,59,337,208,119.418,65,221
105,32,113.094,78,149,225,140.129,60,332,208,119.341,58,231
106,32,114.750,81,162,225,140.027,58,361,208,121.380,58,235
107,32,111.406,77,150,225,138.662,53,340,208,117.942,60,227
108,32,112.250,69,161,225,139.542,51,351,208,118.865,58,221
109,32,113.219,76,159,225,138.831,63,362,208,118.798,61,217
110,32,117.875,80,167,225,140.631,52,335,208,119.207,60,218
111,32,112.625,78,163,225,139.356,56,312,208,117.538,60,231
112,32,114.938,81,157,225,139.991,48,344,208,118.611,66,223
113,32,114.062,81,143,225,138.747,62,343,208,119.236,59,235
114,32,115.688,75,158,225,138.244,58,328,208,119.567,56,208
115,32,114.875,78,146,225,139.093,58,345,208,120.101,65,231
116,32,114.719,84,168,225,139.107,55,332,208,120.543,61,237
117,32,114.594,78,157,225,139.173,53,342,208,119.043,59,227
118,32,113.844,79,144,225,139.431,56,344,208,119.490,55,218
119,32,118.156,74,170,225,138.609,50,329,208,118.769,64,216
120,32,114.562,86,153,225,138.969,47,358,208,120.038,61,229
121,32,112.312,81,166,225,139.560,60,334,208,119.303,57,225
122,32,115.625,81,163,225,138.653,56,354,208,118.644,64,220
123,32,112.406,79,161,225,138.378,47,329,208,119.760,67,227
124,32,115.250,89,151,225,138.027,60,321,208,119.827,69,232
125,32,113.031,84,158,225,139.182,52,338,208,120.885,61,220
126,32,115.219,81,164,225,137.676,56,322,208,119.019,64,228
127,32,114.656,71,152,225,137.320,56,333,208,121.548,65,233
128,32,112.281,75,157,225,137.658,58,332,208,118.788,60,225
129,32,114.156,79,163,225,139.316,61,326,208,119.490,62,211
130,32,112.750,77,153,225,139.969,55,352,208,119.683,64,226
131,32,113.719,86,154,225,138.591,49,339,208,119.250,59,215
132,32,115.594,80,164,225,138.778,55,303,208,120.466,63,220
133,32,115.219,89,167,225,138.013,56,341,208,119.803,66,219
134,32,117.125,83,159,225,143.467,60,333,208,125.014,62,244
135,32,116.781,79,184,225,147.622,64,363,208,128.841,63,238
136,32,114.219,82,177,225,147.293,58,364,208,129.764,57,246
137,32,112.969,79,164,225,145.404,62,370,208,126.519,60,229
138,32,114.969,74,185,225,143.933,60,345,208,125.120,68,220
139,32,113.094,73,156,225,143.213,63,383,208,124.673,60,219
140,32,114.469,82,159,225,140.684,60,343,208,123.510,64,222
141,32,113.312,77,155,225,140.293,57,343,208,120.827,56,222
142,32,112.875,82,157,225,140.360,61,348,208,120.207,61,224
143,32,114.844,74,167,225,140.249,52,346,208,119.380,61,229
144,32,112.188,81,163,225,139.982,61,356,208,118.841,65,217
145,32,113.938,76,157,225,140.138,61,334,208,117.322,58,238
146,32,115.844,84,185,225,138.440,48,353,208,118.861,59,222
147,32,113.281,83,161,225,138.622,52,315,208,118.620,58,241
148,32,114.531,74,158,225,140.142,52,311,208,117.942,60,213
149,32,114.312,74,181,225,139.240,54,320,208,119.010,64,220
150,32,114.281,73,171,225,138.076,59,330,208,119.322,63,219
151,32,114.031,74,160,225,138.964,51,339,208,117.587,56,222
152,32,113.531,76,167,225,136.600,51,331,208,118.990,54,219
153,32,113.719,76,163,225,137.858,53,333,208,119.139,59,226
154,32,113.000,78,178,225,137.960,51,334,208,117.827,51,221
155,32,112.688,71,165,225,137.556,56,341,208,117.913,67,228
156,32,113.656,73,149,225,137.747,59,322,208,118.495,62,214
157,32,114.094,72,183,225,137.160,60,336,208,117.072,61,227
158,32,113.344,78,159,225,137.747,53,309,208,118.356,62,226
159,32,111.250,78,151,225,137.756,53,330,208,117.553,63,214
160,32,113.062,72,152,225,138.178,60,341,208,116.913,60,216
161,32,113.625,79,152,225,137.067,59,353,208,116.630,61,215
162,32,112.156,84,167,225,138.333,56,346,208,117.394,58,227
163,32,113.062,75,166,225,139.409,55,339,208,117.995,58,222
164,32,112.625,85,157,225,136.916,63,333,208,118.250,54,205
165,32,112.500,81,164,225,136.907,59,328,208,117.361,60,209
166,32,110.250,79,149,225,138.071,57,333,208,119.024,55,217
167,32,110.719,72,156,225,137.516,54,324,208,116.683,62,209
168,32,110.812,66,167,225,136.787,61,317,208,118.168,61,225
169,32,112.438,76,166,225,136.271,56,331,208,117.856,63,223
170,32,110.375,74,161,225,136.951,59,314,208,117.072,59,213
171,32,109.031,70,168,225,136.507,48,318,208,117.615,61,221
172,32,111.938,79,175,225,137.200,55,328,208,117.312,58,225
173,32,111.875,76,174,225,139.449,56,327,208,118.188,63,217
174,32,112.469,72,164,225,138.369,56,332,208,118.630,63,228
175,32,110.719,81,152,225,138.058,61,321,208,117.538,62,212
176,32,113.906,79,174,225,138.253,54,348,208,118.399,67,216
177,32,109.781,79,159,225,138.138,61,330,208,117.832,62,221
178,32,111.000,75,158,225,138.849,56,353,208,117.096,59,218
179,32,113.969,75,166,225,139.684,55,374,208,116.716,61,218
180,32,110.625,79,158,225,137.738,58,322,208,118.413,62,224
181,32,110.281,73,170,225,138.431,63,323,208,117.236,60,216
182,32,113.875,74,159,225,137.453,53,317,208,117.635,64,214
183,32,109.375,80,157,225,136.956,58,324,208,117.303,59,227
184,32,111.281,84,151,225,138.160,59,340,208,117.591,64,229
185,32,109.406,73,157,225,138.471,63,320,208,117.558,63,235
186,32,111.000,70,148,225,137.809,48,318,208,117.452,59,244
187,32,109.031,78,155,225,137.902,59,312,208,118.111,59,232
188,32,109.031,78,147,225,137.213,51,343,208,117.846,58,258
189,32,109.906,82,160,225,136.222,54,322,208,117.163,58,246
190,32,108.031,78,144,225,137.644,56,319,208,118.462,53,266
191,32,110.250,80,159,225,138.227,58,343,208,117.683,62,249
192,32,110.562,86,141,225,137.404,56,306,208,116.894,61,246
193,32,112.719,78,159,225,138.169,59,324,208,118.428,61,249
194,32,112.188,74,162,225,141.458,50,341,208,122.010,60,245
195,32,111.094,77,154,225,146.360,57,368,208,128.822,67,253
196,32,110.250,85,162,225,145.529,57,339,208,130.062,62,284
197,32,112.469,71,161,225,145.382,57,386,208,126.702,64,266
198,32,111.406,74,163,225,145.991,60,361,208,126.115,64,268
199,32,113.406,79,148,225,143.609,56,342,208,124.668,67,302
200,32,111.500,81,154,225,143.071,58,337,208,122.293,67,260
201,32,111.062,80,164,225,143.267,61,373,208,122.207,63,290
202,32,111.344,76,177,225,141.636,57,334,208,120.130,64,264
203,32,110.750,74,149,225,140.102,62,329,208,119.966,64,253
204,32,110.875,80,163,225,140.573,58,327,208,119.019,59,270
205,32,109.312,72,142,225,139.329,55,322,208,120.207,61,245
206,32,109.469,71,151,225,139.827,47,345,208,119.928,63,288
207,32,114.000,85,150,225,139.564,54,339,208,119.067,59,263
208,32,107.031,75,146,225,138.951,63,326,208,119.062,58,297
