 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
63,1370,53.162,-4,435,32688,58.199,-2,645,9856,67.301,-7,618,9856,0.67301,-7,618
64,1370,53.042,-2,410,32688,57.986,-7,682,9856,68.993,-4,551,9856,0.68993,-4,551
65,1370,55.136,-8,383,32688,58,-5,517,9856,68.224,-5,566,9856,0.68224,-5,566
66,1370,54.677,-4,554,32688,58.097,-3,631,9856,67.616,-3,614,9856,0.67616,-3,614
67,1370,54.72,-5,462,32688,57.778,-3,670,9856,68.305,-6,575,9856,0.68305,-6,575
68,1370,55.489,-1,370,32688,58.092,-5,640,9856,68.844,-7,723,9856,0.68844,-7,723
69,1370,56.089,0,383,32688,57.979,-6,621,9856,69.585,-4,560,9856,0.69585,-4,560
70,1370,55.653,0,406,32688,57.586,-4,760,9856,69.19,-6,589,9856,0.6919,-6,589
71,1370,53.091,-3,429,32688,58.089,-5,674,9856,69.638,-8,731,9856,0.69638,-8,731
72,1370,55.755,0,493,32688,57.768,-6,687,9856,68.968,-8,596,9856,0.68968,-8,596
73,1370,54.367,-1,421,32688,58.014,-5,611,9856,67.904,-7,565,9856,0.67904,-7,565
74,1370,53.915,-3,427,32688,57.674,-4,667,9856,66.604,-6,631,9856,0.66604,-6,631
75,1370,52.515,0,573,32688,57.933,-7,530,9856,69.199,-5,639,9856,0.69199,-5,639
76,1370,54.293,-9,457,32688,57.767,-7,770,9856,68.991,-7,570,9856,0.68991,-7,570
77,1370,54.986,-4,423,32688,58.402,-12,636,9856,69.248,-5,590,9856,0.69248,-5,590
78,1370,55.801,-7,373,32688,57.929,-6,613,9856,69.286,-8,626,9856,0.69286,-8,626
79,1370,53.166,-8,418,32688,58.236,-9,576,9856,69.222,-9,649,9856,0.69222,-9,649
80,1370,53.395,-9,313,32688,57.594,-11,641,9856,69.326,-9,645,9856,0.69326,-9,645
81,1370,55.575,-9,415,32688,57.538,-7,553,9856,69.238,-9,579,9856,0.69238,-9,579
82,1370,54.216,-5,386,32688,58.622,-9,804,9856,69.546,-9,603,9856,0.69546,-9,603
