1.021802246,0.315487931,2.286464842,1,,1
0.444943275,0.356074417,1.753787882,1,,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.512905461,1.170235774,0.430221722,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.70899855,1.3881059,1.644114565,1,1,1
,,,,,
0.402574846,0.829383401,1.93855161,,1,1
0.343159306,0.53696166,1.082382343,,1,1
,,,,,
,,,,,
,,,,,
0.425911721,0.241834178,1.076785836,1,,1
0.67928992,1.276971221,1.188692935,1,1,1
,,,,,
0.437458001,0.105448424,0.639401853,,,1
,,,,,
,,,,,
1.003683446,1.039185846,0.627577258,1,1,1
0.840307802,0.438341544,3.313321104,1,,1
0.762424943,0.453358113,1.525496219,1,1,1
0.419930481,1.057791067,1.237020153,,1,1
1.452508671,1.529501584,2.057239362,1,1,1
,,,,,
0.804275536,1.456613006,1.364270604,1,1,1
0.307696608,1.02357841,1.863257247,,1,1
0.774295123,0.374800492,1.795920461,1,,1
0.52149298,0.348227944,0.399039532,1,,1
0.242182451,1.282962822,0.904439882,1,1,1
0.524728978,0.38298893,2.338567249,1,,1
,,,,,
,,,,,
0.773977425,0.359029469,1.482508263,1,1,1
0.259575294,1.061193948,1.318526198,,1,1
0.404227639,1.105818967,1.505402991,,1,1
,,,,,
,,,,,
,,,,,
1.34761253,0.649309669,1.470394654,1,1,1
0.412449145,1.83255091,1.091098797,,1,1
1.434326079,0.421148893,1.150909184,1,1,1
,,,,,
1.312079858,1.003116792,1.987653914,1,1,1
,,,,,
0.890092925,0.413940371,1.173722075,1,1,1
0.254832587,0.537233793,1.361755724,,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.433109652,0.7076261,1.868067101,,1,1
0.672988346,0.679456738,1.124675461,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.384502748,0.512978771,2.569657208,,1,1
,,,,,
0.43469235,0.212774307,0.712282745,,,1
0.480682062,0.65008943,1.287613495,1,1,1
0.413319798,0.906200134,0.983833609,1,1,1
0.988498793,1.501955883,3.338712055,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.637664116,0.456138623,1.433525124,1,1,1
0.43027622,1.026329516,0.704292315,1,1,1
0.69059316,0.58199164,0.795115004,1,1,1
1.716478516,1.0349738,2.593857151,1,1,1
,,,,,
0.690059879,1.328628846,1.941755266,1,1,1
