,0.91187517,
1.108708984,0.87910125,
,,
,,
,,
,,0.929369898
,,
,,
,,
,0.855444365,2.043763607
,,
,,
,,
,,
,,
,,
0.788336294,1.566871705,0.765825259
,,
0.610478711,0.811567141,1.336128658
0.750764939,0.671477656,1.427774257
,,
,,
,,
,,
0.823400131,0.42748105,1.792486246
,,
,,
,,
,,
,,
,0.616830436,1.125696931
0.644977852,0.563178936,1.118426713
,,
,0.540949573,0.695327225
,,
,,
,,
0.593828019,0.58693273,0.886984126
0.323728733,,0.998303812
0.468240818,0.562710503,0.840952508
,,
,,
,,
0.904619691,0.452914702,1.945860088
1.085409736,,
1.187990968,1.685650712,1.848061802
0.487164916,0.843609182,1.511630436
0.825408583,1.385016694,0.981456944
,1.715501126,1.010532798
,,
,,
0.725776065,0.653240811,0.805622547
,,
,,
1.543109408,0.724738841,1.157753134
0.600890199,0.497820003,1.096366217
1.146032434,1.163913057,1.255086503
0.887113321,1.051945591,1.726848657
,,
,,
,,
,,
0.557300117,,1.319374906
,,
0.654016723,0.531043299,
,,
,,
,,
,0.41133318,1.242779969
,,
,,
,,
0.795664358,0.777658232,0.941096905
,1.5684473,1.348086756
,,
,0.864811061,1.133367441
,,
0.462383376,,1.075179529
0.537880807,,0.661997758
0.694639558,0.494416527,0.895193298
,,
1.614474658,,1.612812012
,,
0.663098853,,1.207005823
,,
,,
,,
,,
,,
1.56222629,0.652036302,0.728787976
,,
,,
0.605347946,,1.986311839
1.030373644,0.485604481,1.580193898
1.696683803,0.480727016,2.501569967
,,
0.69615751,,1.877259115
,,
,,
,2.036133944,1.962323053
0.878490306,,1.6290164
1.013664781,0.764631835,2.244926307
0.461330849,0.487063258,1.743201766
0.942278784,0.581779804,1.599430749
,,
,,
0.826462517,0.731730064,2.30834919
,,
0.706511819,0.978034253,1.539372626
,,
,0.636465479,1.686810521
0.74646098,,2.680702314
,0.975353449,1.492541859
,,
,,
,,
,,
,,
,,
,,
0.985920374,1.473623734,2.612642179
0.880798115,0.45741377,1.674225415
,,
,,
0.626985018,,1.504255926
,1.788861137,2.23707672
,0.699549086,1.192994819
,,0.94626458
,,
,0.755092266,1.358752557
1.007530537,0.834177404,1.920602641
,1.314966292,
2.195552679,1.260746776,0.649514816
,,
,,
,,
0.890329515,,0.567531274
,1.304612435,1.315591466
1.657458292,0.630828716,1.785355205
,,
1.361871842,1.278070853,1.301051265
1.423130218,,0.980281486
0.481018656,,0.8853861
0.46023574,0.394190504,1.548051403
1.297144217,,0.977709306
0.662863589,,0.63835246
0.581325488,1.002668754,
1.269096683,0.414911019,2.864328725
,,
,,
,,
,,
1.507856558,0.628387857,2.565250818
,,
,0.858743442,1.109681519
0.855703903,0.329254262,1.100797661
,,
0.716731179,0.94265265,2.281047431
0.626847216,,1.061540752
1.107546718,,2.799894428
,1.030556402,0.743631557
,,
,,
,0.890122863,0.798002902
,,3.025372635
,0.605307497,0.69468815
1.412078987,1.261585657,2.565314561
1.057828206,0.633754526,1.508531901
1.04717762,0.771252929,1.993548448
,,
1.485227666,3.833405531,1.459586179
0.740689276,0.337636316,1.179523892
1.940774807,0.675248243,0.742827691
0.768686945,0.40716367,1.240684401
,,
,0.746619605,1.334100405
,0.702430921,0.796394376
0.606431534,0.412569719,1.523878996
0.690849637,,1.617983541
,,
,0.465685947,1.882602012
0.398995461,0.377719792,0.834360078
0.540615591,0.767057525,1.025750139
0.940215221,0.504776186,0.826216456
0.666653309,0.63512306,2.502130756
,,
1.726526553,0.525265569,1.239158078
1.444674518,0.548188949,1.018444855
0.6153644,0.992791281,1.162521213
0.832773772,0.536182466,1.162533406
1.186256708,,0.608098813
0.565549948,,1.659261224
2.119516418,0.378476959,0.978067429
,,0.524820184
0.535852679,0.420827273,1.737559479
0.734439359,,3.224366106
,,
,,
,,1.124238737
0.541037187,,0.712416768
0.845690457,0.443579293,0.739054399
,,0.46451352
0.638857546,0.500417781,0.596001093
0.501465354,,2.318013228
0.746567163,,1.954206046
,,
0.585947273,,1.635958729
0.666862589,1.369685126,2.87865169
0.78772731,0.408054308,0.983075008
0.620042042,1.355655199,0.947321641
1.371676513,,1.103477216
,,
2.256238726,,0.775330985
0.851574326,,0.611025388
,,
,,0.803205201
,,0.527516359
,0.445869404,0.849500313
,,0.597897795
,,
0.786076615,0.51990947,0.510266371
0.978781047,,1.124789161
0.896300858,0.641958927,2.902138048
0.713000388,,0.656088007
,,3.764988096
0.69678762,,0.64938552
,,0.600120038
0.957026788,0.642018664,0.636596297
,,
,,
0.865386727,,1.360250731
0.716807133,0.388551585,0.631965829
0.883186407,1.027519225,1.66599885
0.815582435,,1.455312437
,,
0.64047252,0.465912473,1.016057515
1.030583183,1.127809974,0.863531088
,,1.064375948
0.580239576,,
,,1.19929544
0.505973383,,
0.614127908,,0.438009491
,,
,,
,,
,,
,,1.174206956
,,1.51039633
,,
,,
,,
,,1.221817852
,,2.192147469
,,
,,
,,1.713247789
,,
,,1.098653472
,,
0.701484246,,0.678785811
,,
0.452087857,,1.82504393
,,2.080703139
,,1.096163315
,,2.67739214
,,
1.095934274,0.77398289,1.106363744
,,1.697744552
,,0.93429115
,,1.58737949
,,1.073869967
,,1.13332598
,,0.97990893
,,1.030305184
,,1.993983652
,,
,0.587688628,2.054395358
,,2.264592657
,,
,,1.701936051
,,
,0.728974258,1.204734758
,,
,,
,,1.143615209
,,1.212304416
,,
,,1.080362169
,,
,,
,,
,,
,,
,,
,,
,,
0.746061919,,2.065025777
,,0.838489042
,,
,,1.310645312
,,
,,1.51759382
,,
,,
,,
1.273008295,,2.176486929
,,
,,1.011721047
0.600117828,,2.26462276
,,0.969554816
,,1.832540932
,,
,,0.879569082
,,
,,
,,0.666402993
,,
,,
,,0.724539816
,,0.991096447
,,1.183360747
,,1.884171122
,,1.606809106
,,
,0.626451988,1.80147558
,,
,,2.669227443
,,
,,
,,1.736329432
,,
,,
,,1.844073687
,,1.277583944
,,0.970925546
,,0.963066176
,,
,,1.071726699
