0.256957158,0.91187517,0.358503507,,1,
1.108708984,0.87910125,0.423453003,1,1,
,,,,,
,,,,,
,,,,,
0.352598188,0.10995477,0.929369898,,,1
,,,,,
,,,,,
,,,,,
0.158266742,0.855444365,2.043763607,,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.788336294,1.566871705,0.765825259,1,1,1
,,,,,
0.610478711,0.811567141,1.336128658,1,1,1
0.750764939,0.671477656,1.427774257,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
0.823400131,0.42748105,1.792486246,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.185521023,0.616830436,1.125696931,,1,1
0.644977852,0.563178936,1.118426713,1,1,1
,,,,,
0.242783767,0.540949573,0.695327225,,1,1
,,,,,
,,,,,
,,,,,
0.593828019,0.58693273,0.886984126,1,1,1
0.323728733,0.250049424,0.998303812,1,,1
0.468240818,0.562710503,0.840952508,1,1,1
,,,,,
,,,,,
,,,,,
0.904619691,0.452914702,1.945860088,1,1,1
1.085409736,0.105816188,0.324952813,1,,
1.187990968,1.685650712,1.848061802,1,1,1
0.487164916,0.843609182,1.511630436,1,1,1
0.825408583,1.385016694,0.981456944,1,1,1
0.347999863,1.715501126,1.010532798,,1,1
,,,,,
,,,,,
0.725776065,0.653240811,0.805622547,1,1,1
,,,,,
,,,,,
1.543109408,0.724738841,1.157753134,1,1,1
0.600890199,0.497820003,1.096366217,1,1,1
1.146032434,1.163913057,1.255086503,1,1,1
0.887113321,1.051945591,1.726848657,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
0.557300117,0.404687859,1.319374906,1,,1
,,,,,
0.654016723,0.531043299,0.383088483,1,1,
,,,,,
,,,,,
,,,,,
0.268759639,0.41133318,1.242779969,,1,1
,,,,,
,,,,,
,,,,,
0.795664358,0.777658232,0.941096905,1,1,1
0.556693592,1.5684473,1.348086756,,1,1
,,,,,
0.440758876,0.864811061,1.133367441,,1,1
,,,,,
0.462383376,0.281525687,1.075179529,1,,1
0.537880807,0.178211939,0.661997758,1,,1
0.694639558,0.494416527,0.895193298,1,1,1
,,,,,
1.614474658,0.22631875,1.612812012,1,,1
,,,,,
0.663098853,0.553252695,1.207005823,1,,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1.56222629,0.652036302,0.728787976,1,1,1
,,,,,
,,,,,
0.605347946,0.235721163,1.986311839,1,,1
1.030373644,0.485604481,1.580193898,1,1,1
1.696683803,0.480727016,2.501569967,1,1,1
,,,,,
0.69615751,0.30475416,1.877259115,1,,1
,,,,,
,,,,,
0.489213902,2.036133944,1.962323053,,1,1
0.878490306,0.293284007,1.6290164,1,,1
1.013664781,0.764631835,2.244926307,1,1,1
0.461330849,0.487063258,1.743201766,1,1,1
0.942278784,0.581779804,1.599430749,1,1,1
,,,,,
,,,,,
0.826462517,0.731730064,2.30834919,1,1,1
,,,,,
0.706511819,0.978034253,1.539372626,1,1,1
,,,,,
0.553656555,0.636465479,1.686810521,,1,1
0.74646098,0.333964156,2.680702314,1,,1
0.290595973,0.975353449,1.492541859,,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
